 - - [04/Feb/2026:08:29:54 +0300] "GET /health HTTP/1.0" 200 2 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:13 +0300] "GET /admin/static/vendor/jquery.min.js?v=3.5.1 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:13 +0300] "GET /admin/static/vendor/moment.min.js?v=2.22.2 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:13 +0300] "GET /admin/static/vendor/select2/select2.min.js?v=3.5.2 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:13 +0300] "GET /admin/static/admin/js/helpers.js?v=1.0.0 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:13 +0300] "GET /admin/static/bootstrap/bootstrap3/swatch/fonts/glyphicons-halflings-regular.woff2 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/static/bootstrap/bootstrap3/swatch/default/bootstrap.min.css?v=3.3.5" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:26 +0300] "GET / HTTP/1.0" 200 37 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:32 +0300] "GET /api/backup/run HTTP/1.0" 405 153 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:38 +0300] "GET /api/backup/test HTTP/1.0" 200 167 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:49 +0300] "GET /api/backup/run HTTP/1.0" 405 153 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:01 +0300] "GET /health HTTP/1.0" 200 2 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/backupconfig/ HTTP/1.0" 200 18875 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/bootstrap/bootstrap3/swatch/default/bootstrap.min.css?v=3.3.5 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/bootstrap/bootstrap3/css/bootstrap-theme.min.css?v=3.3.5 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/admin/css/bootstrap3/admin.css?v=1.1.1 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/admin/css/bootstrap3/submenu.css HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/vendor/select2/select2.css?v=3.5.2 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/vendor/select2/select2-bootstrap3.css?v=1.4.6 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/vendor/bootstrap-daterangepicker/daterangepicker-bs3.css?v=1.3.22 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/vendor/jquery.min.js?v=3.5.1 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/bootstrap/bootstrap3/js/bootstrap.min.js?v=3.3.5 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/vendor/bootstrap-daterangepicker/daterangepicker.js?v=1.3.22 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/vendor/moment.min.js?v=2.22.2 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/admin/js/form.js?v=1.0.1 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/admin/js/helpers.js?v=1.0.0 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/vendor/select2/select2.min.js?v=3.5.2 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/admin/js/filters.js?v=1.0.0 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/admin/js/actions.js?v=1.0.0 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/backupconfig/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:10 +0300] "GET /admin/static/bootstrap/bootstrap3/swatch/fonts/glyphicons-halflings-regular.woff2 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/static/bootstrap/bootstrap3/swatch/default/bootstrap.min.css?v=3.3.5" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:20 +0300] "GET /admin/backuplog/ HTTP/1.0" 200 52288 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:20 +0300] "GET /admin/static/bootstrap/bootstrap3/swatch/default/bootstrap.min.css?v=3.3.5 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backuplog/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:20 +0300] "GET /admin/static/admin/css/bootstrap3/admin.css?v=1.1.1 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backuplog/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:20 +0300] "GET /admin/static/bootstrap/bootstrap3/css/bootstrap-theme.min.css?v=3.3.5 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backuplog/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:20 +0300] "GET /admin/static/admin/css/bootstrap3/submenu.css HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backuplog/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:20 +0300] "GET /admin/static/vendor/select2/select2-bootstrap3.css?v=1.4.6 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backuplog/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:08:20 +0300] "GET /admin/static/vendor/select2/select2.css?v=3.5.2 HTTP/1.0" 304 0 "http://backups.cubinez.ru/admin/backuplog/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
